1,2,3,||
notebook ค่อนข้างช้าและหยุดทำงานบ่อยครั้ง ต้องดำเนินการอย่างไร,Notebook ช้าและหยุดทำงานบ่อยครั้ง ต้องดำเนินการอย่างไร,"1. เปิดโปรแกรม task manager แล้วไปที่แถบ startup จากนั้นคลิกขวาโปรแกรมที่ไม่ได้ใช้งานแล้วเลือก disable
2. เปิดโปรแกรม disk cleanup เพื่อลบไฟล์ขยะออกจากเครื่อง https://www.nongit.com/blog/how-to-use-disk-cleanup.html และทดลองใช้งานดูอีกครั้ง หากยังพบเจอปัญหาให้ทำข้อที่ 3
3. ติดตั้งโปรแกรม hd tune เพื่อตรวจสอบหา bad sector บน harddisk https://notebookspec.com/web/186448-check-hdd-hdtune-utility-scan-benchmark หากพบ bad sector ควรพิจารณา backup ข้อมูลและติดต่อ servicedesk เพื่อขอเปลี่ยน harddisk",||
ไม่ได้ยินเสียงจากลำโพงบน notebook ต้องดำเนินการแก้ไขอย่างไร,ไม่ได้ยินเสียงจากลำโพงบน Notebook ต้องดำเนินการแก้ไขอย่างไรคะ,"ตรวจสอบว่าให้แน่ใจว่าไม่ได้ทำการปิดเสียงไว้ หากยังไม่ได้ผลให้ดำเนินการดังนี้
1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน notebook ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook ลำโพงชำรุด""",||
ต้องการส่ง email ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,ต้องการส่ง อีเมล ในนามของหน่วยงาน ไม่ทราบว่าต้องดำเนินการอย่างไร,"1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ต้องการส่ง email ในนามของหน่วยงาน""",||
ไม่สามารถ login ผ่านโปรแกรม outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไร,ไม่สามารถ Login ผ่านโปรแกรม Outlook ได้ ไม่ทราบว่าจะแก้ไขได้ด้วยวิธีอะไร,"1. กรุณาตรวจสอบการเชื่อมต่อ internet
2. กรุณาตรวจสอบความถูกต้อง email และ password",||
ลำโพงของ pc desktop ไม่มีเสียง แก้ยังไง,ลำโพงของคอมพิวเตอร์ ไม่มีเสียง แก้ยังไง,"ตรวจสอบให้แน่ใจว่าไม่ได้ทำการปิดเสียงไว้ หากยังไม่ได้ผลให้ดำเนินการดังนี้
1. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""pc desktop ลำโพงชำรุด""",||
ไม่สามารถใช้งานพอร์ท usb บน notebook ได้ ต้องดำเนินการอย่างไร,ไม่สามารถใช้งานพอร์ท USB บน Notebook ได้เลย ต้องดำเนินการอย่างไร,"1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน notebook ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""พอร์ท usb ชำรุด""",||
ups มีเสียงร้อง แก้ไขยังไง,UPS มีเสียงร้องครับ แก้ไขยังไง,"1. หากเชื่อมต่อ ups เข้ากับอุปกรณ์อื่น ๆ ให้ทดลองถอดอุปกรณ์อื่นออก จากนั้นลองใช้งานอีกครั้ง
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ups ชำรุด""",||
ไม่สามารถ login ผ่านโปรแกรม outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไร,มีปัญหาเรื่องไม่สามารถ Login ผ่านโปรแกรม Outlook ได้ ไม่ทราบว่าจะแก้ไขได้อย่างไร,"1. กรุณาตรวจสอบการเชื่อมต่อ internet
2. กรุณาตรวจสอบความถูกต้อง email และ password",||
ups มีเสียงร้อง แก้ไขยังไง,เรื่อง UPS มีเสียงร้อง แก้ไขยังไง,"1. หากเชื่อมต่อ ups เข้ากับอุปกรณ์อื่น ๆ ให้ทดลองถอดอุปกรณ์อื่นออก จากนั้นลองใช้งานอีกครั้ง
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""ups ชำรุด""",||
จอ notebook สัมผัสใช้งานไม่ได้ แก้ไขได้อย่างไร,สัมผัสใช้งานไม่ได้ จอ Notebook  แก้ไขได้อย่างไร,"1. ทำการ backup ข้อมูลทั้งหมดและหยุดใช้งาน laptop ชั่วคราว
2. ดำเนินการส่งเรื่องมาที่ servicedesk โดยระบุหัวเรื่องว่า ""notebook หน้าจอสัมผัสชำรุด""",||
